Timestamp,Load_kW,ESS_Supply_kW,HFS_Supply_kW,Grid_Supply_kW,Grid_Price_$_per_kWh,ESS_SOC_%,HFS_SOF_%,Grid_Energy_kWh,Grid_Cost_$,Status
2025-03-15 03:30:00,14.776965339490362,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 03:30:00] Normal: RES covers 14.78 kW + 7.89 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 04:00:00,14.46462712464445,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 04:00:00] Normal: RES covers 14.46 kW + 4.75 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 04:30:00,14.526239226028927,0,0,4.897262906267988,0.15,100.0,50.0,2.448631453133994,0.3672947179700991,"[2025-03-15 04:30:00] Normal: RES covers 9.63 kW + 0.00 kW charging ESS, Grid 4.90 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 05:00:00,14.500869484208602,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 05:00:00] Normal: RES covers 14.50 kW + 1.69 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 05:30:00,16.689261106396543,0,0,1.3057614180139705,0.15,100.0,50.0,0.6528807090069852,0.09793210635104778,"[2025-03-15 05:30:00] Normal: RES covers 15.38 kW + 0.00 kW charging ESS, Grid 1.31 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 06:00:00,15.772300985195615,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 06:00:00] Normal: RES covers 15.77 kW + 1.20 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 06:30:00,17.163416036891228,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 06:30:00] Normal: RES covers 17.16 kW + 11.85 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 07:00:00,15.891350580762222,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 07:00:00] Normal: RES covers 15.89 kW + 8.13 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 07:30:00,16.343868193513686,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 07:30:00] Normal: RES covers 16.34 kW + 12.47 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 08:00:00,22.505619759999753,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 08:00:00] Normal: RES covers 22.51 kW + 19.46 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 08:30:00,21.220313240340733,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 08:30:00] Normal: RES covers 21.22 kW + 30.51 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
