Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2023-01-01,128.670484,128.149819,130.183294,130.927238,130.054000,128.277352,134.344203,137.688105,142.208513,137.974526,133.705072,138.453040,135.906171,133.440448,133.257803,138.323746,136.434198,142.845992,143.805702,137.978715,135.609167,133.043827,132.093988,135.605256
2023-01-02,133.108919,129.538506,133.879070,128.627813,128.893333,135.660148,136.810433,142.536099,143.272132,141.561692,138.827164,139.105875,137.453493,139.616476,139.873565,141.281292,139.255128,147.828301,142.307775,146.199080,143.166339,135.352019,137.301868,135.220315
2023-01-03,136.006435,130.681157,133.031742,136.279843,133.116224,137.965847,143.985506,152.027210,158.646277,153.257808,153.310157,151.719113,151.497088,154.945939,149.822489,152.075455,153.767801,160.151487,162.083638,162.729004,155.815257,150.678700,145.878237,140.933768
2023-01-04,132.541299,135.541426,131.320712,131.813999,130.434651,134.039189,137.648311,141.408531,145.401373,141.870558,141.722578,140.445099,143.011250,141.125713,140.726363,141.731209,141.480523,141.958292,148.924732,142.569478,144.990399,137.472401,137.997219,135.416098
2023-01-05,129.108590,128.485741,127.538048,128.150450,130.409234,127.826734,138.937744,135.077206,134.833832,134.148482,132.379332,133.543846,135.675566,135.920776,132.679475,132.637694,132.423335,137.935255,136.795044,136.377516,140.848803,132.984184,135.139142,135.218504
2023-01-06,132.334699,131.266831,132.608813,130.345239,131.020611,134.244772,144.553586,164.056969,180.989579,175.628162,173.640509,172.992271,176.362797,171.173014,173.081629,173.013347,174.023243,177.659459,185.611235,175.147871,178.726123,161.951423,156.074744,151.232263
2023-01-07,129.907609,131.538145,133.867420,129.298939,131.570227,133.381153,141.464398,140.418671,142.769390,136.861347,136.250087,140.620278,137.041929,135.630462,138.053972,140.748127,139.686645,144.186066,142.147852,141.413120,144.743830,139.487717,137.748673,138.282323
2023-01-08,129.064775,131.931886,129.472835,132.889808,128.260560,130.455845,142.298600,145.257385,155.637990,151.010022,147.758556,149.727315,146.801616,150.341288,146.277887,151.474565,149.017238,156.656256,157.812423,155.418027,154.204373,142.027903,140.557611,137.519028
2023-01-09,134.495252,132.791818,133.442985,133.907100,132.311942,134.925567,153.317312,156.314477,177.530398,170.130416,166.996426,167.824086,167.337558,164.052067,163.434596,167.326566,168.611863,176.884312,176.459553,169.110781,167.122524,157.545161,154.495324,149.101368
2023-01-10,133.146057,130.196732,132.117169,132.147263,129.797074,135.097742,147.649274,156.840990,174.945219,165.352715,163.763629,169.242590,164.373620,165.251816,161.384100,168.024648,166.735767,167.684423,174.435660,166.799781,168.638725,156.144409,151.755516,146.956619
2023-01-11,134.083928,132.392181,131.982964,131.937087,130.228272,132.532724,142.131320,149.731226,155.035722,148.563294,150.675917,152.259587,151.246593,147.512217,147.221728,150.626835,153.295580,158.643871,152.410161,154.799155,150.643636,142.789047,143.934954,139.368401
2023-01-12,129.813604,130.435048,129.965556,130.106696,130.448552,133.318977,140.737852,141.475154,143.874541,141.365407,143.485206,143.369875,141.535907,140.243816,143.023733,140.706545,140.988698,147.796456,147.437484,146.591829,149.203702,137.403251,137.425032,135.590281
2023-01-13,136.340653,133.076459,135.440422,131.302779,133.335212,133.645522,144.311437,146.198757,150.885289,149.311154,149.126650,145.956042,145.195773,147.132653,143.326823,147.175423,145.014376,154.662896,155.191983,145.903189,150.515469,143.192276,139.703588,139.527473
