Date,Total_kWh_for_Date
2025-01-10,111.77557473280717
2025-01-11,111.87133906264698
2025-01-12,112.24475122733696
2025-01-13,112.31457570214909
2025-01-14,111.95384506356817
2025-01-15,120.19517505320452
2025-01-16,131.34244235349306
2025-01-17,131.57155691388368
2025-01-18,131.46350649293376
2025-01-19,118.79324171433316
2025-01-20,119.37060067039651
