Timestamp,Temperature_C,Wind_km_h,Humidity_%,Precipitation_mm
2025-01-16 3:00,22,9,93,0
2025-01-16 4:00,21,13,93,0
2025-01-16 5:00,21,17,88,0
2025-01-16 6:00,19,41,95,0
2025-01-16 7:00,19,44,93,0
2025-01-16 8:00,18,46,89,0
2025-01-16 9:00,18,52,89,0
2025-01-16 10:00,18,43,90,0
2025-01-16 11:00,18,37,90,0
2025-01-16 12:00,18,35,84,0
2025-01-16 13:00,20,57,74,0
2025-01-16 16:00,21,48,64,0
2025-01-16 17:00,21,46,63,0
2025-01-16 18:00,21,48,62,0
2025-01-16 19:00,21,54,60,0
2025-01-16 20:00,21,52,63,0
2025-01-16 21:00,21,44,64,0
2025-01-16 22:00,21,37,67,0
2025-01-16 23:00,21,54,65,0
2025-01-17 0:00,20,50,62,0
2025-01-17 2:00,19,52,65,0
2025-01-17 3:00,19,50,61,0
2025-01-17 4:00,18,37,61,0
2025-01-17 5:00,18,41,56,0
2025-01-17 6:00,18,43,58,0
2025-01-17 7:00,18,48,60,0
2025-01-17 8:00,19,50,64,0
2025-01-17 9:00,19,56,66,0
2025-01-17 10:00,20,52,72,0
2025-01-17 11:00,18,59,85,0
2025-01-17 12:00,19,65,82,0
2025-01-17 13:00,20,69,69,0
2025-01-17 14:00,19,72,78,0
2025-01-17 15:00,20,50,74,0
2025-01-17 16:00,21,76,63,0
2025-01-17 17:00,21,67,65,0
2025-01-17 18:00,21,69,71,0
2025-01-17 20:00,21,76,59,0
2025-01-17 21:00,21,70,59,0
2025-01-17 23:00,20,63,74,0
2025-01-18 0:00,20,67,71,0
2025-01-18 3:00,20,69,73,0
2025-01-18 4:00,20,67,78,0
2025-01-18 5:00,19,70,83,0
2025-01-18 6:00,17,46,94,0
2025-01-18 7:00,17,44,96,0
2025-01-18 8:00,18,37,96,0
2025-01-18 9:00,19,56,96,0
2025-01-18 10:00,21,43,91,0
2025-01-18 11:00,21,46,90,0
2025-01-18 12:00,22,46,83,0
2025-01-18 13:00,23,44,80,0
2025-01-18 14:00,23,44,83,0
2025-01-18 15:00,22,43,82,0
2025-01-18 16:00,22,39,83,0
2025-01-18 17:00,23,37,82,0
2025-01-18 18:00,23,35,82,0
2025-01-18 19:00,22,35,84,0
2025-01-18 20:00,21,37,87,0
2025-01-18 21:00,21,41,88,0
2025-01-18 22:00,20,41,89,0
2025-01-18 23:00,21,50,82,0
2025-01-19 0:00,21,46,80,0
2025-01-19 1:00,21,44,74,0
2025-01-19 2:00,21,41,76,0
2025-01-19 3:00,20,37,64,0
2025-01-19 4:00,20,43,73,0
2025-01-19 5:00,20,35,65,0
2025-01-19 6:00,20,37,67,0
2025-01-19 7:00,20,39,59,0
2025-01-19 8:00,21,33,61,0
2025-01-19 9:00,22,30,54,0
2025-01-19 10:00,21,32,65,0
2025-01-19 11:00,20,32,72,0
2025-01-19 12:00,21,28,69,0
2025-01-19 13:00,23,33,66,0
2025-01-19 14:00,22,37,61,0
2025-01-19 15:00,22,37,59,0
2025-01-19 16:00,22,37,59,0
2025-01-19 17:00,21,37,66,0
2025-01-19 18:00,21,37,64,0
2025-01-19 19:00,20,33,67,0
2025-01-19 20:00,20,28,66,0
2025-01-19 21:00,20,26,67,0
2025-01-19 22:00,20,22,67,0
2025-01-19 23:00,18,9,71,0
2025-01-20 0:00,18,17,71,0
2025-01-20 1:00,17,13,73,0
2025-01-20 2:00,17,11,76,0
2025-01-20 3:00,17,13,73,0
2025-01-20 4:00,17,13,74,0
2025-01-20 5:00,16,13,77,0
2025-01-20 6:00,16,11,77,0
2025-01-20 7:00,16,11,77,0
2025-01-20 8:00,19,9,63,0
2025-01-20 9:00,21,13,56,0
2025-01-20 10:00,22,15,53,0
2025-01-20 11:00,22,19,55,0
2025-01-20 12:00,22,15,58,0
2025-01-20 13:00,22,17,60,0
2025-01-20 14:00,22,15,54,0
2025-01-20 15:00,22,13,56,0
2025-01-20 16:00,22,13,56,0
2025-01-20 17:00,22,13,56,0
2025-01-20 18:00,22,13,56,0
2025-01-20 19:00,21,11,62,0
2025-01-20 20:00,20,9,65,0
2025-01-20 21:00,20,0,67,0
2025-01-20 22:00,18,0,73,0
2025-01-20 23:00,18,9,75,0
